url,price,area,rooms,location,private
https://www.otodom.pl/pl/oferta/mieszkanie-z-garazem-os-nowa-sloneczna-ID4s8DP,829000.0,62.0,THREE,Wełnowiec-Józefowiec,True
https://www.otodom.pl/pl/oferta/wygodne-2-pokoje-balkonem-osiedle-witosa-ID4t8Cs,419900.0,48.65,TWO,Osiedle Witosa,False
https://www.otodom.pl/pl/oferta/debowe-tarasy-garaz-komorka-klimatyzacja-wynajete-ID4t9sP,599000.0,50.95,TWO,Dąb,False
https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-w-katowicach-do-wejscia-ID4sTB8,455000.0,73.52,THREE,Dąbrówka Mała,False
https://www.otodom.pl/pl/oferta/fitelberga-3-niezalezne-mieszkania-ID4t9sj,2200000.0,291.6,TEN,Brynów-Osiedle Zgrzebnioka,False
https://www.otodom.pl/pl/oferta/kokociniec-mieszkanie-z-garazem-i-balkonem-ID4op02,450000.0,62.2,THREE,Ligota-Panewniki,False
https://www.otodom.pl/pl/oferta/katowice-tysiaclecie-kawalerka-z-osobna-sypialnia-ID4t0Qb,329000.0,29.0,TWO,Osiedle Tysiąclecia,True
https://www.otodom.pl/pl/oferta/damrota-garden-apartament-2-pok-46-ID4osYk,671000.0,52.37,TWO,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/0-prowizji-ligota-park-garaz-komorka-ID4t9rt,779000.0,90.3,THREE,Załęska Hałda-Brynów,False
https://www.otodom.pl/pl/oferta/super-cena-super-lokalizacja-francuska-park-ID4t2vw,489000.0,39.93,TWO,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/park-bazantow-55m2-wysoki-standard-balkon-ID4sZJU,764000.0,55.0,TWO,Kostuchna,False
https://www.otodom.pl/pl/oferta/ligota-park-ogrod-zimowy-balkon-garaz-komorka-ID4t9r4,1158000.0,115.83,THREE,Załęska Hałda-Brynów,False
https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-w-centrum-srodmiescie-ID4sAre,599218.98,61.03,TWO,Śródmieście,True
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-w-katowicach-na-giszowcu-ID4sU1Q,280000.0,34.6,TWO,Giszowiec,False
https://www.otodom.pl/pl/oferta/gotowe-3-pokoje-i-topowa-lokalizacja-ID4t9qK,565301.0,59.48,THREE,Koszutka,False
https://www.otodom.pl/pl/oferta/widok-na-spodek-15-p-z-wyposazeniem-bez-prowizji-ID4sOxx,649900.0,32.5,ONE,Śródmieście,True
https://www.otodom.pl/pl/oferta/osiedle-dworska-mieszkanie-a2-ID4k9e9,619080.0,51.59,TWO,Brynów-Osiedle Zgrzebnioka,False
https://www.otodom.pl/pl/oferta/kawalerka-z-widokiem-na-panorame-katowic-16-pietro-ID4t9pi,550372.0,32.4,ONE,Śródmieście,False
https://www.otodom.pl/pl/oferta/nowoczesne-3-pok-mieszkanie-w-parku-ID4rJGL,399000.0,49.24,THREE,Śródmieście,False
https://www.otodom.pl/pl/oferta/na-sprzedaz-2-pokojowe-mieszkanie-katowice-witosa-ID4t9p4,320000.0,48.0,TWO,Osiedle Witosa,True
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-85m2-2-ogrodki-ID4pFtc,915879.0,85.95,FOUR,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-54m2-2-balkony-ID4rrQf,,54.54,THREE,Wełnowiec-Józefowiec,False
https://www.otodom.pl/pl/oferta/2-pokoje-blisko-centrum-z-ogrodkiem-84-m2-i-garaz-ID4t9oQ,621330.0,44.7,TWO,Śródmieście,False
https://www.otodom.pl/pl/oferta/3-pokoje-i-blisko-centrum-i-kameralny-budynek-ID4t9oP,524124.0,48.34,THREE,Dąb,False
https://www.otodom.pl/pl/oferta/komfortowe-2-pokoje-i-atrakcyjna-lokalizacja-ID4t9oN,477250.0,41.5,TWO,Koszutka,False
https://www.otodom.pl/pl/oferta/komfortowe-3-pokoje-2-lazienki-i-bez-prowizji-ID4t9oL,658270.0,72.63,THREE,Wełnowiec-Józefowiec,False
https://www.otodom.pl/pl/oferta/3-pokojowy-sloneczny-apartament-w-centrum-ID4t9n8,1020800.0,70.4,THREE,Bogucice,True
https://www.otodom.pl/pl/oferta/2-pokoje-balkon-atrakcyjna-cena-lokalizacja-ID4swSs,299000.0,43.0,TWO,Szopienice-Burowiec,False
https://www.otodom.pl/pl/oferta/mieszkanie-4-pokoje-zamkniete-osiedle-ID4r5lW,619000.0,109.0,FOUR,Kostuchna,False
https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-z-pieknymi-widokami-kostuchna-ID4sIAm,719000.0,90.0,THREE,Kostuchna,False
https://www.otodom.pl/pl/oferta/nowoczesne-2-pokoje-dom-przy-filharmonii-ID4t9m2,550000.0,35.0,TWO,Śródmieście,False
https://www.otodom.pl/pl/oferta/kawalerka-srodmiescie-blok-z-winda-loggia-ID4srVd,348000.0,36.0,ONE,Śródmieście,False
